Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"15,215","15,496","15,623","15,567","15,210","15,707","15,926","15,556","15,190","16,514","15,919","16,441","16,351"
Expenses+,"11,643","11,832","11,828","11,902","11,675","11,965","12,139","11,867","11,572","12,797","12,137","12,660","12,514"
Operating Profit,"3,572","3,664","3,795","3,665","3,535","3,742","3,787","3,689","3,618","3,717","3,782","3,781","3,837"
OPM %,23%,24%,24%,24%,23%,24%,24%,24%,24%,23%,24%,23%,23%
Other Income+,240,146,178,184,309,209,203,733,149,74,269,"4,048",503
Interest,29,50,88,91,105,93,110,109,77,127,124,88,76
Depreciation,291,286,297,313,320,329,338,318,318,361,322,337,348
Profit before tax,"3,492","3,474","3,588","3,445","3,419","3,529","3,542","3,995","3,372","3,303","3,605","7,404","3,916"
Tax %,26%,26%,26%,27%,25%,26%,27%,25%,27%,16%,25%,11%,24%
Net Profit+,"2,601","2,556","2,657","2,508","2,561","2,612","2,595","2,989","2,475","2,768","2,694","6,603","2,994"
EPS in Rs,11.07,10.87,11.30,10.68,10.89,11.11,11.03,12.70,10.49,11.73,11.43,28.12,12.73
Raw PDF,,,,,,,,,,,,,
