Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Revenue+,"35,727","41,409","45,175","46,614","56,044","63,716","64,397","68,846","87,448","112,759","127,374","132,538"
Interest,"21,341","24,344","26,789","27,604","33,883","37,996","34,627","34,923","43,389","61,391","71,036","74,075"
Expenses+,"11,521","13,869","24,327","29,717","28,020","35,976","32,621","31,216","30,644","40,036","46,395","55,843"
Financing Profit,"2,865","3,196","-5,941","-10,706","-5,860","-10,256","-2,851","2,707","13,416","11,333","9,943","2,620"
Financing Margin %,8%,8%,-13%,-23%,-10%,-16%,-4%,4%,15%,10%,8%,2%
Other Income+,"8,838","9,955","12,422","11,863","14,189","16,342","13,577","17,268","18,349","25,230","28,543","29,674"
Depreciation,420,461,527,591,737,806,976,"1,046","13,143","1,385","1,763",0
Profit before tax,"11,283","12,690","5,954",566,"7,592","5,280","9,750","18,929","18,621","35,178","36,722","32,293"
Tax %,34%,34%,33%,18%,34%,64%,26%,25%,42%,25%,23%,18%
Net Profit+,"7,450","8,358","3,967",464,"5,047","1,879","7,252","14,207","10,919","26,492","28,191","26,548"
EPS in Rs,31.42,35.04,16.51,1.78,19.59,6.57,23.49,45.99,35.16,85.49,90.58,84.89
Dividend Payout %,15%,14%,30%,0%,5%,0%,0%,2%,3%,1%,1%,1%
