Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue+,"24,305","25,673","26,858","27,852","28,682","29,145","30,447","31,895","32,523","32,572","32,513","32,889","32,798"
Interest,"14,690","16,064","16,820","17,444","18,206","18,536","19,790","20,738","21,640","21,828","21,858","22,164","22,219"
Expenses+,"10,813","10,990","10,259","9,449","9,831","8,473","8,592","7,494","9,142","9,197","8,299","9,298","7,518"
Financing Profit,"-1,197","-1,381",-221,959,646,"2,136","2,065","3,663","1,742","1,547","2,356","1,426","3,061"
Financing Margin %,-5%,-5%,-1%,3%,2%,7%,7%,11%,5%,5%,7%,4%,9%
Other Income+,"3,827","3,360","2,999","2,676","4,294","3,615","4,664","3,392","4,776","5,427","4,171","5,013","4,080"
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,"2,630","1,979","2,778","3,634","4,940","5,751","6,729","7,055","6,518","6,973","6,527","6,440","7,141"
Tax %,34%,39%,36%,38%,37%,35%,34%,34%,29%,74%,26%,19%,27%
Net Profit+,"1,876","1,363","1,990","2,441","3,363","3,991","4,739","4,811","5,011","2,167","5,121","5,577","5,602"
EPS in Rs,1.69,1.22,1.81,2.21,3.04,3.61,4.10,4.18,4.34,1.84,4.46,4.83,4.87
Gross NPA %,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,
