Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"7,966","8,713","7,424","8,129","8,894","8,392","7,552","9,411","9,981","10,289","9,174","10,277","10,915"
Expenses+,"6,727","7,046","6,122","6,397","7,195","7,112","6,441","7,700","8,113","8,328","7,414","8,924","9,452"
Operating Profit,"1,239","1,667","1,302","1,732","1,699","1,280","1,111","1,712","1,868","1,961","1,761","1,353","1,464"
OPM %,16%,19%,18%,21%,19%,15%,15%,18%,19%,19%,19%,13%,13%
Other Income+,142,268,480,204,448,358,220,"1,355",713,300,39,77,138
Interest,39,52,61,70,93,68,67,67,14,67,77,59,21
Depreciation,352,372,381,416,459,476,520,607,694,798,885,911,"1,053"
Profit before tax,989,"1,512","1,340","1,450","1,595","1,094",744,"2,393","1,872","1,396",838,460,528
Tax %,23%,25%,26%,25%,5%,28%,33%,-11%,28%,27%,-175%,12%,-252%
Net Profit+,763,"1,135",987,"1,091","1,521",783,496,"2,663","1,351","1,017","2,302",403,"1,857"
EPS in Rs,3.25,4.56,3.99,4.15,4.78,2.60,1.95,8.76,4.16,3.39,7.14,0.97,7.40
Raw PDF,,,,,,,,,,,,,
