Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,822,632,978,"1,314","1,438","1,034","1,172","1,433","1,339","1,447","1,582","1,473"
Expenses+,443,562,679,781,842,779,882,891,970,"1,010","1,055","1,058"
Operating Profit,379,71,298,533,596,256,290,541,369,438,528,415
OPM %,46%,11%,31%,41%,41%,25%,25%,38%,28%,30%,33%,28%
Other Income+,317,252,221,178,191,181,49,86,80,94,111,93
Interest,0,0,3,0,0,0,0,1,0,0,0,0
Depreciation,45,52,55,62,67,96,99,103,114,144,152,170
Profit before tax,651,270,462,648,720,340,240,523,334,387,487,338
Tax %,34%,36%,34%,35%,34%,27%,26%,28%,25%,24%,22%,21%
Net Profit+,428,173,306,422,474,248,177,377,251,293,382,267
EPS in Rs,12.74,5.15,11.48,16.38,18.40,10.46,7.44,18.53,12.31,14.42,18.76,13.14
Dividend Payout %,33%,49%,48%,34%,33%,57%,99%,32%,30%,42%,30%,41%
