Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,597,547,540,488,547,550,596,517,607,588,597,555,625
Expenses+,395,407,410,371,403,410,446,414,487,466,463,461,496
Operating Profit,202,140,130,117,144,139,150,103,120,123,134,94,129
OPM %,34%,26%,24%,24%,26%,25%,25%,20%,20%,21%,22%,17%,21%
Other Income+,13,14,17,17,22,24,22,25,26,47,21,21,35
Interest,1,1,1,1,1,1,0,0,1,1,0,0,3
Depreciation,13,12,14,15,15,12,13,13,15,12,13,14,18
Profit before tax,201,143,132,119,150,151,159,115,130,157,142,101,143
Tax %,26%,30%,22%,21%,24%,25%,26%,28%,25%,26%,24%,27%,18%
Net Profit+,149,100,103,94,115,113,117,83,97,117,109,74,117
EPS in Rs,48.74,32.54,33.71,30.73,37.36,36.94,38.30,26.97,31.68,38.19,35.40,24.11,38.32
Raw PDF,,,,,,,,,,,,,
