Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,982,"1,740","1,617",955,792,"1,631","1,738","1,057","1,046","1,915","1,553","1,106","1,101"
Expenses+,777,"1,315","1,312",827,695,"1,317","1,554","1,037",876,"1,566","1,348",989,898
Operating Profit,206,425,305,128,97,314,184,20,171,348,205,117,203
OPM %,21%,24%,19%,13%,12%,19%,11%,2%,16%,18%,13%,11%,18%
Other Income+,24,21,16,15,29,27,24,32,37,19,14,16,47
Interest,7,8,4,3,5,4,3,4,6,5,4,5,6
Depreciation,27,31,12,15,16,22,14,15,34,27,14,15,38
Profit before tax,195,406,306,124,105,316,190,34,168,335,200,113,206
Tax %,19%,19%,27%,25%,9%,20%,28%,-2%,15%,17%,24%,15%,21%
Net Profit+,158,328,223,93,96,254,136,34,143,279,153,96,162
EPS in Rs,35.27,73.09,49.60,20.72,21.36,56.56,30.33,7.61,31.89,62.01,33.98,21.29,36.07
Raw PDF,,,,,,,,,,,,,
