Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"8,434","8,851","9,533","9,788","9,617","10,211","10,483","10,260","9,970","9,728","12,218","12,487","12,978"
Expenses+,"7,345","7,734","8,174","8,403","8,298","8,804","9,033","8,844","8,529","8,315","10,452","10,735","11,109"
Operating Profit,"1,089","1,117","1,360","1,385","1,319","1,407","1,450","1,416","1,441","1,413","1,766","1,752","1,870"
OPM %,13%,13%,14%,14%,14%,14%,14%,14%,14%,15%,14%,14%,14%
Other Income+,238,66,213,288,177,225,239,306,345,939,240,179,210
Interest,19,21,25,23,8,19,18,17,17,21,19,20,19
Depreciation,180,180,187,194,197,205,206,209,204,206,210,219,220
Profit before tax,"1,128",982,"1,360","1,456","1,292","1,408","1,464","1,497","1,565","2,126","1,777","1,692","1,841"
Tax %,28%,29%,26%,25%,27%,27%,27%,26%,25%,20%,26%,25%,20%
Net Profit+,811,701,"1,007","1,091",943,"1,032","1,066","1,108","1,169","1,706","1,321","1,275","1,474"
EPS in Rs,40.29,35.53,50.35,54.70,46.77,52.31,53.19,55.38,58.06,85.26,65.42,63.35,72.97
Raw PDF,,,,,,,,,,,,,
