Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,863,764,902,"1,026","1,164",919,"1,011",952,"1,216","1,005","1,177","1,061","1,322"
Expenses+,753,681,812,915,"1,059",859,938,868,"1,092",919,"1,049",965,"1,199"
Operating Profit,110,83,90,112,104,60,73,84,124,86,128,96,124
OPM %,13%,11%,10%,11%,9%,7%,7%,9%,10%,9%,11%,9%,9%
Other Income+,9,7,8,9,207,11,12,15,18,16,15,15,27
Interest,11,11,11,12,14,15,16,15,13,12,15,11,12
Depreciation,10,12,13,14,29,15,17,18,17,21,22,26,29
Profit before tax,98,67,74,95,269,41,53,67,112,70,106,74,110
Tax %,26%,26%,26%,26%,26%,26%,27%,26%,26%,26%,26%,27%,25%
Net Profit+,72,50,55,71,200,31,38,50,83,51,79,54,82
EPS in Rs,10.77,7.42,8.22,10.55,29.83,4.56,5.73,7.39,12.44,7.64,11.73,8.07,12.24
Raw PDF,,,,,,,,,,,,,
