Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"10,242","11,006","12,991","12,991","13,364","14,956","13,339","13,671","14,237","14,109","13,457","12,451","14,223"
Expenses+,"8,335","7,491","7,819","8,346","8,514","8,761","8,063","8,648","9,425","8,424","8,307","8,213","9,491"
Operating Profit,"1,907","3,514","5,171","4,645","4,850","6,194","5,276","5,023","4,813","5,685","5,150","4,238","4,732"
OPM %,19%,32%,40%,36%,36%,41%,40%,37%,34%,40%,38%,34%,33%
Other Income+,553,"7,103","1,945",364,518,518,724,"1,162",298,465,851,543,"1,766"
Interest,746,883,888,797,820,811,807,957,765,857,842,701,967
Depreciation,817,935,"1,004","1,002",990,996,"1,059","1,170","1,085","1,089","1,193","1,135","1,147"
Profit before tax,898,"8,800","5,224","3,210","3,558","4,906","4,134","4,059","3,261","4,204","3,966","2,945","4,384"
Tax %,-484%,0%,-26%,15%,23%,20%,20%,28%,20%,21%,27%,16%,3%
Net Profit+,"5,242","8,759","6,594","2,738","2,737","3,913","3,298","2,940","2,599","3,305","2,906","2,488","4,271"
EPS in Rs,2.72,4.54,3.42,1.42,1.42,2.03,1.73,1.59,1.37,1.76,1.53,1.29,2.08
Raw PDF,,,,,,,,,,,,,
