Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,630,721,711,706,630,653,634,606,592,571,644,701,614
Expenses+,444,557,538,520,452,469,456,414,382,374,362,444,441
Operating Profit,186,164,174,186,179,184,179,192,210,197,282,257,173
OPM %,30%,23%,24%,26%,28%,28%,28%,32%,35%,34%,44%,37%,28%
Other Income+,22,20,21,25,19,21,18,22,13,6,6,55,7
Interest,2,1,1,1,4,2,2,2,7,3,3,6,3
Depreciation,66,49,50,51,52,51,52,55,56,56,56,62,61
Profit before tax,141,134,143,159,142,152,143,157,161,144,228,245,116
Tax %,30%,25%,24%,25%,26%,25%,26%,26%,27%,26%,25%,21%,33%
Net Profit+,99,100,109,120,105,114,106,116,118,107,171,193,77
EPS in Rs,11.64,11.71,12.75,14.08,12.36,13.33,12.48,13.64,13.88,12.57,20.05,22.67,9.08
Raw PDF,,,,,,,,,,,,,
