Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,965,891,997,937,"1,061","1,005","1,184","1,140","1,198","1,169","1,386","1,350","1,492"
Expenses+,802,758,853,831,923,894,"1,072","1,011","1,064","1,041","1,211","1,180","1,315"
Operating Profit,164,133,144,106,137,111,111,130,135,128,175,170,177
OPM %,17%,15%,14%,11%,13%,11%,9%,11%,11%,11%,13%,13%,12%
Other Income+,16,12,15,9,8,-5,-2,2,2,2,2,-6,5
Interest,4,6,6,8,10,15,17,18,19,22,31,31,29
Depreciation,20,23,23,23,25,34,34,34,36,37,48,48,49
Profit before tax,155,116,129,84,110,58,58,80,82,71,98,85,104
Tax %,26%,25%,25%,26%,28%,41%,31%,26%,35%,26%,28%,23%,23%
Net Profit+,115,87,97,63,78,34,40,59,53,53,71,65,79
EPS in Rs,5.16,3.91,4.36,2.84,3.58,1.55,1.80,2.63,2.36,2.33,3.10,2.87,3.51
Raw PDF,,,,,,,,,,,,,
