Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,994,"1,348","1,479","1,620","2,044","2,633","3,463","4,401","3,617","4,167","4,116","4,552"
Expenses+,678,845,854,"1,085","1,338","1,678","2,161","2,890","2,598","2,758","2,674","2,889"
Operating Profit,316,502,625,535,706,955,"1,302","1,511","1,019","1,410","1,443","1,663"
OPM %,32%,37%,42%,33%,35%,36%,38%,34%,28%,34%,35%,37%
Other Income+,30,37,34,49,66,139,135,224,184,166,215,280
Interest,17,16,6,4,4,7,3,5,7,8,23,18
Depreciation,57,63,74,78,82,95,99,110,147,162,169,176
Profit before tax,272,459,578,502,686,993,"1,335","1,619","1,048","1,405","1,466","1,748"
Tax %,23%,32%,28%,36%,34%,22%,25%,25%,26%,26%,26%,26%
Net Profit+,209,314,414,321,452,773,997,"1,212",776,"1,043","1,090","1,300"
EPS in Rs,133.53,202.40,267.01,207.24,291.65,49.88,60.94,73.78,47.11,63.34,66.14,78.88
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,32%,27%,25%
