Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"1,890","2,018","2,064","2,227","2,447","2,402","2,495","2,653","2,863","3,205","3,670","3,994","3,938"
Expenses+,"1,635","1,265","1,337","1,558","1,630","1,506","1,636","1,662","1,854","2,041","2,223","2,293","2,493"
Operating Profit,254,753,726,669,817,896,859,992,"1,009","1,165","1,447","1,701","1,445"
OPM %,13%,37%,35%,30%,33%,37%,34%,37%,35%,36%,39%,43%,37%
Other Income+,118,251,184,116,263,160,260,562,241,208,130,-73,260
Interest,672,594,673,857,823,889,"1,031",829,955,949,"1,043",917,950
Depreciation,301,296,373,393,405,466,474,479,491,489,431,465,452
Profit before tax,-601,114,-135,-465,-148,-300,-386,246,-196,-65,103,246,302
Tax %,6%,85%,40%,5%,13%,13%,11%,18%,29%,111%,66%,29%,-32%
Net Profit+,-637,17,-190,-486,-168,-338,-429,202,-253,-137,35,174,400
EPS in Rs,-0.73,0.03,-0.15,-0.53,-0.20,-0.23,-0.27,0.25,-0.23,-0.20,-0.04,0.12,0.29
Raw PDF,,,,,,,,,,,,,
