Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,87,104,225,108,"1,212",134,279,126,145,325,397,288,61
Expenses+,32,36,33,36,35,61,46,31,42,41,43,41,37
Operating Profit,55,68,192,72,"1,177",73,233,96,103,284,353,247,24
OPM %,63%,66%,85%,67%,97%,54%,83%,76%,71%,87%,89%,86%,39%
Other Income+,"1,326","1,375","1,479","1,602","1,563","1,554","1,335","1,694","1,695","3,428","1,630","1,846","2,278"
Interest,5,1,1,1,1,0,0,0,0,0,0,0,0
Depreciation,8,8,8,8,8,8,8,8,8,8,8,8,8
Profit before tax,"1,368","1,434","1,662","1,665","2,731","1,618","1,559","1,781","1,789","3,704","1,976","2,084","2,293"
Tax %,1%,1%,4%,1%,1%,0%,3%,2%,2%,5%,14%,3%,-12%
Net Profit+,"1,353","1,416","1,588","1,645","2,716","1,615","1,510","1,750","1,751","3,504","1,690","2,018","2,577"
EPS in Rs,121.55,127.19,133.98,147.76,244.05,144.70,129.06,157.09,155.04,313.27,140.08,181.16,231.37
Raw PDF,,,,,,,,,,,,,
