Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Revenue+,"9,696","8,004","2,688","8,909","10,926","13,135","13,900","14,644","18,154","25,830","33,196","39,073"
Interest,"2,103",976,0,"2,655","3,587","4,592","4,608","4,328","5,778","9,249","12,494","14,388"
Expenses+,"6,542","7,029","2,377","4,490","5,147","6,588","6,807","7,210","8,597","11,389","14,269","17,529"
Financing Profit,"1,051",-1,311,"1,764","2,192","1,954","2,485","3,106","3,780","5,191","6,433","7,155"
Financing Margin %,11%,-0%,12%,20%,20%,15%,18%,21%,21%,20%,19%,18%
Other Income+,123,"1,538",1,0,21,1,60,92,221,256,262,510
Depreciation,171,163,17,70,78,150,145,154,176,248,296,333
Profit before tax,"1,003","1,374",295,"1,695","2,135","1,806","2,400","3,044","3,824","5,200","6,400","7,333"
Tax %,32%,27%,30%,34%,34%,36%,27%,26%,26%,26%,26%,25%
Net Profit+,684,"1,181",538,"1,127","1,415","1,165","1,764","2,239","2,810","3,851","4,740","5,485"
EPS in Rs,22.68,55.47,24.26,29.32,37.12,29.34,43.93,54.49,68.71,94.39,115.76,130.01
Dividend Payout %,9%,9%,1%,4%,3%,2%,1%,1%,1%,1%,1%,1%
