Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"3,918","3,829","4,794","5,530","7,486","8,127","8,629","9,498","10,421"
Expenses+,"3,141","3,124","3,550","4,151","5,644","6,429","6,358","6,930","7,335"
Operating Profit,778,705,"1,244","1,379","1,842","1,698","2,272","2,567","3,086"
OPM %,20%,18%,26%,25%,25%,21%,26%,27%,30%
Other Income+,209,64,94,148,200,163,369,550,220
Interest,18,40,11,8,48,28,17,372,562
Depreciation,28,38,62,78,123,270,335,378,429
Profit before tax,941,691,"1,265","1,440","1,871","1,563","2,289","2,367","2,315"
Tax %,26%,26%,24%,25%,26%,20%,18%,18%,12%
Net Profit+,694,514,958,"1,084","1,389","1,248","1,876","1,945","2,038"
EPS in Rs,17.33,12.83,23.92,27.07,34.68,31.16,46.84,47.15,49.36
Dividend Payout %,0%,0%,32%,0%,0%,0%,0%,0%,2%
