Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,79,134,245,371,"1,163","2,336","1,714","3,611","4,707","6,622","8,617","10,899"
Expenses+,176,416,863,427,"4,529","4,543","2,048","5,238","5,234","6,040","7,563","9,500"
Operating Profit,-97,-282,-617,-56,"-3,366","-2,207",-334,"-1,627",-527,582,"1,054","1,399"
OPM %,-123%,-210%,-252%,-15%,-289%,-94%,-19%,-45%,-11%,9%,12%,13%
Other Income+,31,26,65,14,"2,508",-160,-415,668,800,881,"1,249","1,803"
Interest,1,4,15,24,59,11,8,6,16,18,16,34
Depreciation,5,22,18,13,23,74,129,133,140,73,97,202
Profit before tax,-72,-281,-585,-78,-940,"-2,451",-886,"-1,098",117,"1,372","2,190","2,966"
Tax %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,10%,10%
Net Profit+,-72,-281,-585,-78,-940,"-2,451",-886,"-1,098",117,"1,371","1,960","2,655"
EPS in Rs,"-2,408.98","-9,128.74","-19,026.66","-2,324.25","-27,849.27","-72,584.54","-25,206.26",-1.39,0.14,1.55,2.03,2.75
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
