Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"1,056","1,490","1,568","1,870","2,075","2,124","2,194","2,429","2,478","3,159","4,050","4,611"
Expenses+,432,775,776,802,709,431,388,515,549,623,704,821
Operating Profit,624,715,792,"1,068","1,366","1,693","1,806","1,913","1,929","2,536","3,346","3,790"
OPM %,59%,48%,51%,57%,66%,80%,82%,79%,78%,80%,83%,82%
Other Income+,9,4,20,0,22,19,8,4,4,4,9,6
Interest,0,0,0,0,0,9,9,9,10,9,9,13
Depreciation,10,11,12,9,13,50,55,54,53,52,58,73
Profit before tax,623,708,800,"1,058","1,375","1,653","1,749","1,855","1,871","2,478","3,286","3,710"
Tax %,33%,33%,31%,33%,32%,24%,24%,25%,24%,21%,25%,23%
Net Profit+,416,478,550,711,931,"1,262","1,326","1,393","1,424","1,946","2,461","2,859"
EPS in Rs,82.28,95.01,109.39,16.89,21.89,29.66,31.13,32.66,33.36,45.57,57.55,66.75
Dividend Payout %,39%,42%,42%,47%,55%,47%,55%,64%,72%,77%,78%,81%
