Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"2,284","1,686","1,812","2,157","2,630","3,486","2,593","4,498","8,242","12,375","17,135","20,074"
Expenses+,"2,196","1,596","1,679","1,949","2,390","2,957","2,479","3,903","7,128","10,404","14,315","16,329"
Operating Profit,88,90,134,208,241,529,114,595,"1,114","1,971","2,820","3,745"
OPM %,4%,5%,7%,10%,9%,15%,4%,13%,14%,16%,16%,19%
Other Income+,208,86,81,27,30,147,199,152,341,989,305,85
Interest,22,48,46,44,51,263,261,325,409,368,200,233
Depreciation,75,39,41,46,52,247,257,311,494,671,895,"1,361"
Profit before tax,200,90,128,147,168,165,-205,111,552,"1,921","2,030","2,236"
Tax %,35%,39%,34%,41%,44%,36%,-12%,69%,29%,23%,24%,23%
Net Profit+,129,55,85,87,95,106,-181,35,394,"1,477","1,534","1,721"
EPS in Rs,2.60,1.11,1.70,1.74,1.95,2.30,-2.74,1.98,8.34,27.88,29.01,32.25
Dividend Payout %,26%,54%,39%,44%,45%,29%,-15%,57%,18%,8%,11%,8%
