Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"11,340","12,464","13,498","17,512","21,548","19,891","20,347","25,605","33,662","39,882","44,993","58,154"
Expenses+,"10,622","11,506","12,494","15,973","19,205","17,447","17,911","22,599","29,356","34,122","38,149","49,032"
Operating Profit,717,959,"1,004","1,539","2,343","2,444","2,437","3,006","4,306","5,760","6,844","9,122"
OPM %,6%,8%,7%,9%,11%,12%,12%,12%,13%,14%,15%,16%
Other Income+,98,102,171,121,28,-40,-11,8,118,59,70,20
Interest,99,102,88,372,719,910,929,985,"1,424","2,032","2,223","2,617"
Depreciation,238,317,377,447,534,649,643,845,986,"1,011","1,067","1,406"
Profit before tax,478,641,710,841,"1,118",845,854,"1,184","2,013","2,776","3,624","5,119"
Tax %,29%,26%,23%,25%,33%,26%,31%,30%,34%,36%,34%,34%
Net Profit+,345,472,547,629,750,627,592,824,"1,333","1,782","2,409","3,390"
EPS in Rs,105.01,144.49,163.47,167.39,213.93,166.89,160.24,218.19,321.61,396.23,576.33,839.45
Dividend Payout %,18%,28%,19%,9%,17%,19%,16%,20%,18%,24%,16%,10%
