Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"201,231","190,163","203,033","214,054","238,717","211,952","231,132","203,751","243,134","224,671","241,524","235,954","276,744"
Expenses+,"189,692","180,169","194,558","204,815","237,152","202,180","224,544","191,818","221,621","214,198","232,032","223,588","265,521"
Operating Profit,"11,539","9,994","8,475","9,239","1,564","9,773","6,588","11,934","21,514","10,474","9,492","12,366","11,222"
OPM %,6%,5%,4%,4%,1%,5%,3%,6%,9%,5%,4%,5%,4%
Other Income+,612,117,288,206,"14,249","1,001",794,818,954,780,"1,044",822,"3,166"
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,"12,151","10,111","8,763","9,445","15,813","10,774","7,382","12,752","22,468","11,253","10,537","13,188","14,388"
Tax %,8%,14%,13%,15%,12%,15%,16%,14%,15%,15%,14%,15%,-63%
Net Profit+,"13,189","9,634","8,032","9,434","13,842","10,527","7,723","11,009","19,039","10,955","10,096","12,908","23,467"
EPS in Rs,10.43,7.62,6.35,7.49,10.94,8.34,6.11,8.70,15.05,8.66,7.98,10.22,18.55
Raw PDF,,,,,,,,,,,,,
