Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"33,207","32,789","32,986","34,698","32,756","34,738","33,889","36,835","36,440","35,311","35,537","35,173","35,577"
Expenses+,"32,651","30,128","29,405","30,490","28,908","29,948","29,952","33,665","32,914","31,642","32,077","32,246","34,123"
Operating Profit,556,"2,660","3,580","4,208","3,849","4,790","3,937","3,169","3,526","3,669","3,460","2,927","1,453"
OPM %,2%,8%,11%,12%,12%,14%,12%,9%,10%,10%,10%,8%,4%
Other Income+,871,529,595,915,651,685,643,"3,211",674,566,516,683,"1,250"
Interest,107,185,200,176,159,209,188,169,174,213,234,254,263
Depreciation,631,722,837,872,"1,241","1,152",922,939,786,993,"1,177","1,192",474
Profit before tax,689,"2,283","3,138","4,075","3,099","4,114","3,470","5,272","3,240","3,029","2,565","2,165","1,966"
Tax %,7%,21%,22%,22%,20%,23%,22%,23%,23%,21%,22%,20%,25%
Net Profit+,643,"1,793","2,442","3,193","2,474","3,183","2,690","4,084","2,506","2,382","1,989","1,729","1,481"
EPS in Rs,0.96,2.73,3.72,4.86,3.75,4.84,4.10,6.21,3.79,3.60,3.00,2.67,2.26
Raw PDF,,,,,,,,,,,,,
