Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"2,598","2,369","2,309","2,449","3,008","2,636","2,273","2,510","3,027","2,609","2,394","2,687","3,528"
Expenses+,"2,118","2,047","1,952","2,070","2,517","2,249","1,954","2,201","2,611","2,290","2,096","2,373","2,905"
Operating Profit,480,322,356,379,491,387,319,309,416,319,297,314,623
OPM %,18%,14%,15%,15%,16%,15%,14%,12%,14%,12%,12%,12%,18%
Other Income+,61,36,37,42,59,59,43,31,45,42,30,13,60
Interest,4,2,2,5,8,3,3,3,3,3,6,11,9
Depreciation,72,72,72,77,77,86,90,91,91,93,104,110,121
Profit before tax,465,283,319,338,465,357,270,245,367,265,218,206,553
Tax %,23%,24%,24%,24%,24%,23%,23%,24%,20%,24%,24%,26%,22%
Net Profit+,359,216,243,256,355,273,207,187,294,202,165,153,434
EPS in Rs,28.30,16.97,19.14,20.17,27.93,21.52,16.26,14.72,23.14,15.93,12.97,12.07,34.13
Raw PDF,,,,,,,,,,,,,
