Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"13,925","16,140","18,580","23,021","28,497","35,756","14,641","25,931","54,446","68,904","80,803","84,962"
Expenses+,"12,022","12,976","16,362","19,991","28,648","31,687","14,638","25,373","47,926","52,573","62,753","73,118"
Operating Profit,"1,904","3,164","2,219","3,030",-151,"4,069",2,558,"6,521","16,331","18,050","11,844"
OPM %,14%,20%,12%,13%,-1%,11%,0%,2%,12%,24%,22%,14%
Other Income+,395,515,789,947,"1,325","1,531","1,036",725,"1,431","2,326","3,307","2,833"
Interest,150,350,406,413,563,"1,902","2,170","2,386","3,168","4,208","5,133","6,009"
Depreciation,302,505,457,437,760,"3,974","4,699","5,068","5,101","6,406","8,637","10,751"
Profit before tax,"1,847","2,824","2,144","3,127",-149,-275,"-5,830","-6,171",-317,"8,043","7,588","-2,083"
Tax %,29%,30%,23%,28%,-205%,-10%,0%,0%,0%,-2%,4%,20%
Net Profit+,"1,304","1,986","1,659","2,242",156,-248,"-5,830","-6,171",-317,"8,168","7,253","-2,502"
EPS in Rs,"42,481.11",55.12,45.90,58.33,4.06,-6.45,-151.46,-160.18,-8.21,211.60,187.70,-64.73
Dividend Payout %,83%,27%,74%,10%,123%,0%,0%,0%,0%,0%,5%,0%
