Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,449,625,"2,982","3,050","3,115","2,667","3,892","6,028","7,661","5,505","5,825"
Expenses+,"2,169","2,389","4,685","7,164","5,580","4,344","6,188","7,729","8,698","6,985","5,590"
Operating Profit,"-1,720","-1,764","-1,703","-4,114","-2,465","-1,677","-2,296","-1,701","-1,038","-1,480",235
OPM %,-383%,-282%,-57%,-135%,-79%,-63%,-59%,-28%,-14%,-27%,4%
Other Income+,234,932,308,251,-175,310,239,336,307,"1,365",253
Interest,1,4,28,20,50,36,40,22,24,16,17
Depreciation,25,39,69,76,143,157,228,470,721,658,404
Profit before tax,"-1,512",-876,"-1,491","-3,960","-2,833","-1,560","-2,325","-1,856","-1,476",-789,67
Tax %,-0%,0%,-0%,0%,0%,0%,0%,0%,0%,0%,0%
Net Profit+,"-1,510",-880,"-1,490","-3,960","-2,833","-1,560","-2,325","-1,856","-1,476",-789,67
EPS in Rs,-326.66,-187.18,-269.39,-688.20,-468.78,-257.93,-35.85,-29.28,-23.23,-12.37,1.05
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
