Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"2,463","2,407","2,286","2,310","2,654","2,190","1,953","2,257","2,815","2,454","2,207","2,159","2,836"
Expenses+,"2,188","2,109","1,997","1,932","2,182","1,932","1,775","2,009","2,281","2,107","1,902","1,866","2,326"
Operating Profit,274,298,289,378,472,258,177,248,534,347,305,293,510
OPM %,11%,12%,13%,16%,18%,12%,9%,11%,19%,14%,14%,14%,18%
Other Income+,67,16,27,16,33,17,17,15,10,32,27,-15,67
Interest,89,97,95,97,82,86,85,83,73,71,67,65,62
Depreciation,140,140,143,145,150,146,145,139,142,131,134,133,134
Profit before tax,113,76,77,153,273,44,-36,41,328,177,131,80,380
Tax %,25%,22%,24%,29%,29%,26%,-29%,25%,22%,33%,31%,34%,23%
Net Profit+,85,60,58,109,193,33,-25,31,257,120,90,53,295
EPS in Rs,11.03,7.75,7.58,14.17,25.11,4.24,-3.27,4.05,33.32,15.53,11.75,6.85,38.28
Raw PDF,,,,,,,,,,,,,
