Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"1,072","1,089","1,120","1,044","1,105","1,133","1,158","1,124","1,180","1,229","1,151","1,256","1,354"
Expenses+,902,880,934,880,927,951,945,949,983,"1,036",963,"1,005","1,067"
Operating Profit,170,209,186,163,178,181,213,175,197,192,188,250,287
OPM %,16%,19%,17%,16%,16%,16%,18%,16%,17%,16%,16%,20%,21%
Other Income+,9,7,8,2,2,5,7,46,9,11,11,-2,10
Interest,26,34,34,34,33,32,31,32,33,59,59,43,42
Depreciation,41,41,43,46,48,47,48,49,49,68,69,73,75
Profit before tax,112,141,117,85,100,107,141,140,124,76,71,133,180
Tax %,39%,27%,26%,26%,27%,28%,33%,26%,26%,28%,18%,25%,26%
Net Profit+,68,103,86,63,73,77,95,105,92,55,58,99,133
EPS in Rs,2.84,4.27,3.57,2.61,3.04,3.21,3.93,4.34,3.80,2.31,2.22,3.90,5.20
Raw PDF,,,,,,,,,,,,,
