Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,807,741,"1,009",713,"1,093",941,"1,036","1,152","1,023",959,"1,062","1,063","1,058"
Expenses+,663,616,844,609,928,796,879,"1,006",933,848,958,972,971
Operating Profit,144,125,165,104,165,145,157,146,90,111,104,91,86
OPM %,18%,17%,16%,15%,15%,15%,15%,13%,9%,12%,10%,9%,8%
Other Income+,3,5,25,14,0,9,9,16,6,9,19,11,30
Interest,7,15,18,18,20,21,30,36,36,31,32,30,44
Depreciation,16,19,20,22,22,25,25,32,34,38,39,39,43
Profit before tax,123,97,151,79,124,108,110,95,26,51,52,34,30
Tax %,23%,24%,24%,26%,26%,28%,27%,25%,18%,23%,25%,27%,20%
Net Profit+,95,74,114,58,92,78,80,71,21,39,39,24,24
EPS in Rs,4.78,3.72,5.77,2.93,4.64,3.93,4.06,3.57,1.06,1.97,1.97,1.23,1.22
Raw PDF,,,,,,,,,,,,,
