Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,354,397,438,646,"1,136","1,833","2,278","4,367"
Expenses+,312,328,390,588,"1,053","1,798","2,134","3,924"
Operating Profit,42,69,48,58,83,35,144,443
OPM %,12%,17%,11%,9%,7%,2%,6%,10%
Other Income+,3,2,6,8,37,51,44,38
Interest,8,10,6,5,16,30,47,41
Depreciation,10,10,12,13,17,32,46,68
Profit before tax,27,52,36,48,86,24,95,372
Tax %,23%,16%,21%,36%,36%,16%,16%,21%
Net Profit+,21,44,29,31,55,20,80,293
EPS in Rs,298.68,615.26,382.62,2.22,3.11,1.13,4.48,15.21
Dividend Payout %,0%,0%,0%,0%,48%,133%,34%,10%
