Metric,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,567,620,640,643,657,724,740,781,815,858
Expenses+,405,494,467,454,476,498,502,511,536,563
Operating Profit,162,126,173,189,181,226,238,270,279,295
OPM %,29%,20%,27%,29%,28%,31%,32%,35%,34%,34%
Other Income+,6,15,4,5,27,3,3,4,6,5
Interest,26,32,26,22,21,21,18,16,23,13
Depreciation,19,27,28,28,28,28,28,30,32,34
Profit before tax,124,81,122,144,160,180,195,228,229,253
Tax %,18%,21%,22%,21%,19%,18%,22%,21%,20%,19%
Net Profit+,102,64,95,113,130,148,152,181,183,206
EPS in Rs,5.94,3.72,5.57,6.59,7.56,8.61,8.83,10.53,10.68,12.00
Raw PDF,,,,,,,,,,
