Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,401,417,383,322,410,348,565,361,351,654,"1,354","1,186"
Expenses+,209,261,231,195,232,183,231,301,310,404,572,489
Operating Profit,192,156,152,128,178,165,334,59,40,250,783,697
OPM %,48%,38%,40%,40%,43%,47%,59%,16%,12%,38%,58%,59%
Other Income+,0,0,0,11,1,0,-146,168,43,-0,3,18
Interest,164,131,109,86,81,75,96,12,31,69,111,94
Depreciation,9,11,9,7,6,10,20,32,46,73,16,17
Profit before tax,20,15,33,47,91,80,72,184,7,108,658,605
Tax %,2%,-3%,34%,8%,13%,23%,12%,-2%,11%,9%,9%,6%
Net Profit+,19,15,22,43,79,62,64,188,6,98,598,567
EPS in Rs,,,,,,,,,,5.56,33.22,31.16
Dividend Payout %,104%,0%,0%,70%,0%,0%,175%,0%,0%,0%,87%,45%
