Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue+,"2,075","1,900","2,227","2,143","2,205","2,207","2,422","2,017","2,107","2,400","2,251","2,158","1,358"
Interest,"1,342","1,354","1,350","1,312","1,291","1,309","1,238","1,194","1,050","1,196","1,286","1,458","1,679"
Expenses+,293,147,448,478,511,471,"4,852",389,603,724,528,260,"3,255"
Financing Profit,440,400,429,353,402,426,"-3,668",434,455,480,436,440,"-3,576"
Financing Margin %,21%,21%,19%,16%,18%,19%,-151%,22%,22%,20%,19%,20%,-263%
Other Income+,4,13,15,69,50,30,3,3,25,9,10,0,"-6,496"
Depreciation,22,19,23,23,21,19,20,20,25,21,21,21,25
Profit before tax,422,394,422,399,431,437,"-3,685",417,455,468,425,419,"-10,097"
Tax %,38%,25%,29%,24%,26%,25%,-25%,28%,29%,29%,27%,25%,-20%
Net Profit+,263,294,298,303,319,327,"-2,761",302,324,334,308,314,"-8,101"
EPS in Rs,3.71,4.16,4.14,4.10,4.32,4.42,-38.12,4.08,3.91,4.04,3.72,3.79,-69.92
Gross NPA %,2.86%,2.87%,2.88%,2.85%,2.69%,2.68%,2.37%,,1.30%,1.50%,1.40%,,
Net NPA %,1.90%,1.69%,1.66%,1.71%,1.52%,1.52%,1.40%,,0.80%,0.80%,0.80%,,
Raw PDF,,,,,,,,,,,,,
