Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,790,912,984,"1,059","1,008",59,"1,031","1,775","1,905","2,341","2,664","2,874"
Expenses+,768,890,941,"1,048",976,65,870,"1,332","1,321","1,579","1,830","2,054"
Operating Profit,22,22,43,11,31,-6,161,443,584,762,833,821
OPM %,3%,2%,4%,1%,3%,-10%,16%,25%,31%,33%,31%,29%
Other Income+,33,35,30,51,47,66,-104,128,144,271,293,286
Interest,43,30,35,41,44,60,112,59,52,52,48,40
Depreciation,49,50,51,49,53,3,91,112,113,117,131,143
Profit before tax,-38,-24,-13,-28,-18,-3,-146,400,563,865,947,924
Tax %,0%,-0%,0%,0%,26%,-5%,12%,17%,-23%,21%,26%,22%
Net Profit+,-38,-24,-13,-28,-23,-3,-164,332,694,687,701,717
EPS in Rs,-0.78,-0.44,-0.24,-0.51,-0.43,-0.06,-1.70,3.42,7.15,7.07,7.21,7.36
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,14%,21%,21%,27%
