Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,186,154,172,166,225,177,247,275,308,207,306,393,433
Expenses+,146,120,148,140,182,147,198,206,224,156,211,243,249
Operating Profit,41,34,25,27,43,30,49,69,85,51,95,151,184
OPM %,22%,22%,14%,16%,19%,17%,20%,25%,28%,25%,31%,38%,42%
Other Income+,-0,1,-30,3,1,1,8,2,6,16,10,5,11
Interest,1,1,1,3,2,4,0,1,1,1,1,1,1
Depreciation,3,4,4,4,5,6,7,6,7,8,8,10,10
Profit before tax,37,31,-10,24,37,20,50,63,83,58,96,145,184
Tax %,26%,28%,71%,25%,31%,26%,25%,28%,24%,24%,25%,27%,27%
Net Profit+,27,22,-17,18,26,15,38,45,63,44,72,106,134
EPS in Rs,3.73,2.71,-2.55,2.27,3.41,1.71,4.56,5.49,7.63,5.41,8.82,13.19,16.09
Raw PDF,,,,,,,,,,,,,
