Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,511,548,572,370,294,314,278,335,474,557,544,589
Expenses+,589,530,582,419,326,369,356,350,437,521,515,554
Operating Profit,-78,18,-11,-48,-32,-55,-78,-16,36,37,29,36
OPM %,-15%,3%,-2%,-13%,-11%,-17%,-28%,-5%,8%,7%,5%,6%
Other Income+,3,4,27,15,59,9,4,108,16,8,17,3
Interest,44,42,32,33,38,34,28,29,21,25,23,25
Depreciation,11,11,11,11,8,6,5,5,5,5,5,4
Profit before tax,-130,-31,-27,-77,-19,-86,-108,58,26,15,17,9
Tax %,0%,0%,-0%,0%,0%,0%,0%,0%,0%,0%,1%,3%
Net Profit+,-130,-31,-27,-77,-19,-86,-108,58,26,15,17,8
EPS in Rs,-24.40,-5.59,-4.12,-11.57,-2.80,-12.95,-16.24,8.76,3.90,2.28,2.60,1.27
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
