Metric,Mar 2017,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"2,012","2,953","8,119","6,379","2,686","3,147","3,328","3,520","3,880"
Expenses+,"1,825","2,650","7,884","6,183","2,487","2,960","3,084","3,088","3,304"
Operating Profit,187,302,235,196,199,187,244,432,576
OPM %,9%,10%,3%,3%,7%,6%,7%,12%,15%
Other Income+,9,-5,17,20,12,12,2,21,26
Interest,121,192,180,142,145,135,173,125,130
Depreciation,72,81,69,58,57,54,55,57,69
Profit before tax,4,24,3,16,8,9,18,271,403
Tax %,60%,70%,-489%,64%,29%,47%,62%,26%,33%
Net Profit+,2,7,15,6,6,5,7,200,268
EPS in Rs,1.41,0.31,0.63,0.24,0.25,0.20,0.28,7.15,9.59
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,50%,56%
