Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,622,406,390,362,293,467,641,750,816,909,"1,051","1,163"
Expenses+,507,305,286,249,263,380,564,663,670,717,782,829
Operating Profit,116,101,103,114,31,88,77,87,145,192,269,334
OPM %,19%,25%,27%,31%,10%,19%,12%,12%,18%,21%,26%,29%
Other Income+,6,9,6,8,25,12,11,6,5,24,27,26
Interest,15,14,15,15,13,15,26,21,31,32,57,56
Depreciation,22,24,24,27,29,26,24,22,24,25,35,44
Profit before tax,85,71,70,80,13,59,39,50,96,159,204,261
Tax %,26%,21%,17%,23%,27%,26%,25%,25%,27%,24%,25%,26%
Net Profit+,63,56,58,61,10,44,29,38,70,121,154,193
EPS in Rs,7.67,6.50,6.65,7.05,1.13,5.08,3.33,4.37,8.06,12.75,16.17,20.32
Dividend Payout %,16%,18%,15%,17%,22%,24%,36%,32%,20%,16%,14%,12%
