Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue+,"6,218","6,445","6,714","6,989","7,458","7,725","7,737","7,833","7,623","7,605","7,389","7,553","7,662"
Interest,"4,117","4,449","4,794","4,975","5,309","5,486","5,544","5,617","5,352","5,235","5,093","5,093","5,030"
Expenses+,"2,881","2,726","2,883","2,948","3,340","2,820","2,984","2,969","3,080","3,110","3,129","2,961","2,999"
Financing Profit,-780,-730,-962,-934,"-1,191",-580,-791,-753,-809,-740,-833,-501,-366
Financing Margin %,-13%,-11%,-14%,-13%,-16%,-8%,-10%,-10%,-11%,-10%,-11%,-7%,-5%
Other Income+,"1,055","1,192","1,267","1,255","1,642","1,271","1,488","1,583","1,815","1,825","1,724","1,720","1,816"
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,275,462,304,320,451,691,697,830,"1,006","1,085",891,"1,218","1,449"
Tax %,25%,25%,25%,24%,-4%,25%,19%,25%,26%,25%,25%,21%,25%
Net Profit+,206,347,229,243,467,516,567,619,745,809,664,957,"1,082"
EPS in Rs,0.07,0.12,0.08,0.08,0.16,0.16,0.18,0.20,0.24,0.26,0.21,0.30,0.34
Gross NPA %,2.20%,2.00%,2.00%,2.00%,1.70%,1.70%,1.60%,1.60%,1.60%,1.60%,1.60%,1.50%,1.30%
Net NPA %,0.83%,1.00%,0.90%,0.90%,0.60%,0.50%,0.50%,0.50%,0.30%,0.30%,0.30%,0.30%,0.20%
Raw PDF,,,,,,,,,,,,,
