Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Revenue+,"1,240","1,372","1,550","1,693","1,994","2,587","3,107","3,672"
Interest,731,793,816,761,799,987,"1,174","1,364"
Expenses+,254,333,290,351,458,619,736,868
Financing Profit,255,245,444,580,737,980,"1,198","1,439"
Financing Margin %,21%,18%,29%,34%,37%,38%,39%,39%
Other Income+,-14,-2,-0,-0,-25,-0,1,-2
Depreciation,5,12,11,13,16,21,25,32
Profit before tax,235,231,432,567,696,959,"1,174","1,406"
Tax %,31%,18%,21%,22%,22%,22%,22%,22%
Net Profit+,162,189,340,445,545,749,912,"1,095"
EPS in Rs,64.51,47.99,8.61,11.26,13.80,18.96,21.14,25.14
Dividend Payout %,11%,0%,0%,0%,0%,0%,0%,0%
