Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,11,-1,7,20,61,108,194,298,338,395,360,320
Expenses+,3,4,22,51,78,99,146,250,252,288,232,219
Operating Profit,8,-5,-15,-32,-17,10,48,48,87,107,127,101
OPM %,70%,,-199%,-161%,-28%,9%,25%,16%,26%,27%,35%,32%
Other Income+,0,0,0,0,0,0,0,0,0,0,0,0
Interest,3,2,1,1,7,15,21,23,21,29,24,33
Depreciation,0,0,0,1,1,4,4,4,8,9,12,9
Profit before tax,5,-8,-16,-33,-25,-10,23,20,58,69,91,59
Tax %,32%,-29%,-29%,-24%,-25%,-18%,26%,26%,25%,24%,25%,25%
Net Profit+,4,-6,-12,-25,-19,-8,17,15,43,52,68,44
EPS in Rs,3.84,-5.98,-2.20,-6.62,-4.95,-2.07,4.52,3.37,9.41,11.08,14.52,9.41
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
