Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue+,"4,495","4,789","5,068","5,172","5,467","5,875","6,017","6,325","6,731","7,054","7,128","7,344","7,755"
Interest,"2,308","2,449","2,636","2,705","2,882","3,075","3,210","3,381","3,614","3,762","3,880","3,922","4,052"
Expenses+,"2,098","1,882","2,164","2,076","2,339","2,349","2,219","2,269","2,561","2,414","2,275","2,348","2,312"
Financing Profit,89,458,268,390,246,450,588,675,556,878,973,"1,075","1,391"
Financing Margin %,2%,10%,5%,8%,4%,8%,10%,11%,8%,12%,14%,15%,18%
Other Income+,822,629,668,680,"1,022",894,792,788,981,825,846,933,938
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,911,"1,088",936,"1,070","1,268","1,344","1,380","1,463","1,537","1,703","1,819","2,008","2,330"
Tax %,8%,19%,2%,3%,4%,4%,4%,4%,3%,6%,10%,11%,14%
Net Profit+,841,884,920,"1,038","1,230","1,295","1,333","1,412","1,502","1,504","1,669","1,799","2,045"
EPS in Rs,1.25,1.25,1.30,1.47,1.74,1.83,1.88,1.84,1.95,1.96,2.17,2.34,2.66
Gross NPA %,2.47%,2.28%,2.19%,2.04%,1.88%,1.85%,1.84%,1.80%,1.74%,1.74%,1.72%,1.60%,1.45%
Net NPA %,0.25%,0.24%,0.23%,0.22%,0.20%,0.20%,0.20%,0.20%,0.18%,0.18%,0.18%,0.15%,0.13%
Raw PDF,,,,,,,,,,,,,
