Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"1,625","1,466","1,433","1,964","1,905","1,550","1,826","2,533","2,425","2,041","2,041","2,842","2,765"
Expenses+,"1,090","1,056","1,078","1,231","1,246","1,101","1,325","1,571","1,568","1,465","1,471","1,766","1,793"
Operating Profit,535,410,355,732,660,450,501,962,857,576,570,"1,076",973
OPM %,33%,28%,25%,37%,35%,29%,27%,38%,35%,28%,28%,38%,35%
Other Income+,29,49,48,40,46,46,371,59,59,61,83,334,79
Interest,57,57,59,53,52,50,52,52,54,55,56,56,55
Depreciation,108,109,111,114,120,117,125,134,142,143,145,150,167
Profit before tax,400,294,232,605,535,328,696,834,720,440,453,"1,203",830
Tax %,24%,28%,31%,28%,26%,29%,18%,26%,25%,27%,30%,22%,25%
Net Profit+,339,236,179,477,438,260,583,633,563,329,318,954,645
EPS in Rs,2.31,1.57,1.18,3.18,2.93,1.75,3.90,4.09,3.67,2.08,2.00,6.35,4.21
Raw PDF,,,,,,,,,,,,,
