Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"3,200","3,449","3,602","3,660","3,386","3,332","3,666","3,768","3,514","3,662","3,825","3,998","3,900"
Expenses+,"2,559","2,806","2,898","2,819","2,630","2,607","2,907","3,012","2,755","2,967","3,092","3,118","3,059"
Operating Profit,641,643,704,841,756,724,760,756,759,695,733,880,841
OPM %,20%,19%,20%,23%,22%,22%,21%,20%,22%,19%,19%,22%,22%
Other Income+,36,-13,53,63,"-2,312",57,80,77,42,65,33,-35,-24
Interest,53,74,77,67,78,88,83,90,90,86,76,79,90
Depreciation,69,76,61,54,50,49,50,62,73,59,66,66,76
Profit before tax,556,480,619,783,"-1,684",644,707,682,639,614,625,700,651
Tax %,19%,34%,30%,26%,12%,30%,30%,27%,36%,26%,27%,29%,31%
Net Profit+,452,319,433,581,"-1,893",451,491,498,412,452,459,498,452
EPS in Rs,4.42,3.12,4.23,5.68,-18.51,4.41,4.80,4.87,4.03,4.42,4.49,4.87,4.42
Raw PDF,,,,,,,,,,,,,
