Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,930,"1,269","1,399","1,676","1,587","1,133","1,325","1,426","1,425","1,873","2,344","2,528"
Expenses+,470,751,800,"1,034",892,535,446,452,480,548,658,764
Operating Profit,459,519,599,643,695,598,879,974,944,"1,325","1,687","1,764"
OPM %,49%,41%,43%,38%,44%,53%,66%,68%,66%,71%,72%,70%
Other Income+,-0,1,1,4,2,1,1,2,6,4,4,215
Interest,0,0,0,2,0,6,4,4,4,6,7,7
Depreciation,7,4,18,8,10,33,33,27,29,28,29,38
Profit before tax,452,516,582,636,687,561,843,945,918,"1,294","1,655","1,934"
Tax %,23%,24%,30%,30%,31%,27%,23%,25%,22%,19%,24%,23%
Net Profit+,350,390,405,448,475,412,649,711,715,"1,047","1,252","1,498"
EPS in Rs,303.46,338.65,351.37,7.31,7.76,6.74,10.53,11.43,11.47,16.62,19.73,23.47
Dividend Payout %,95%,37%,0%,82%,77%,74%,76%,96%,100%,99%,91%,92%
