Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"1,311","2,038","2,024","1,897","2,973","2,632","1,950","2,999","3,445","4,897","5,074","5,697"
Expenses+,928,"1,548","1,444","1,341","2,174","1,965","1,474","2,229","2,578","3,695","3,654","4,270"
Operating Profit,383,490,580,557,799,667,476,770,866,"1,202","1,421","1,427"
OPM %,29%,24%,29%,29%,27%,25%,24%,26%,25%,25%,28%,25%
Other Income+,20,34,29,36,47,27,-17,9,161,160,233,198
Interest,131,199,246,259,278,340,347,444,434,491,495,409
Depreciation,99,106,123,138,140,192,237,351,315,302,289,312
Profit before tax,172,219,240,196,427,161,-125,-15,278,569,869,904
Tax %,33%,37%,31%,32%,34%,29%,-23%,331%,20%,29%,22%,20%
Net Profit+,116,139,167,133,282,114,-96,-65,222,401,680,725
EPS in Rs,5.63,7.30,8.98,6.82,11.74,6.39,-2.20,3.59,12.63,19.54,28.06,26.35
Dividend Payout %,24%,18%,19%,20%,11%,31%,-55%,42%,16%,10%,9%,8%
