Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"23,625","23,280","26,023","29,038","32,041","31,480","33,704","32,042","36,595","35,439","37,403","39,708","38,494"
Expenses+,"15,470","13,935","16,073","18,601","21,108","19,655","21,420","19,669","23,868","21,124","23,352","25,842","23,983"
Operating Profit,"8,154","9,345","9,950","10,438","10,933","11,825","12,283","12,373","12,728","14,315","14,050","13,866","14,511"
OPM %,35%,40%,38%,36%,34%,38%,36%,39%,35%,40%,38%,35%,38%
Other Income+,2,3,0,2,4,3,3,3,10,13,3,-378,25
Interest,"3,436","4,020","4,449","4,777","5,154","5,592","6,046","6,276","6,396","6,807","6,901","7,232","7,291"
Depreciation,181,202,209,232,257,267,275,288,339,317,327,330,317
Profit before tax,"4,540","5,125","5,292","5,431","5,527","5,968","5,966","5,812","6,002","7,204","6,825","5,926","6,928"
Tax %,27%,28%,29%,26%,26%,29%,30%,24%,21%,26%,30%,26%,25%
Net Profit+,"3,335","3,709","3,756","4,045","4,085","4,209","4,180","4,412","4,756","5,329","4,746","4,368","5,226"
EPS in Rs,11.11,12.20,12.09,13.52,13.28,13.39,13.07,13.97,15.14,17.46,14.04,13.95,15.86
Raw PDF,,,,,,,,,,,,,
