Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue+,"6,431","6,759","6,765","6,804","6,948","6,797","6,938","7,070","7,303","7,250","7,179","7,206","7,212"
Interest,"4,378","4,493","4,600","4,646","4,649","4,749","4,879","4,950","4,951","5,046","4,994","4,942","4,786"
Expenses+,582,602,670,686,800,392,372,297,546,475,450,474,463
Financing Profit,"1,472","1,664","1,496","1,473","1,500","1,656","1,687","1,823","1,806","1,729","1,735","1,790","1,962"
Financing Margin %,23%,25%,22%,22%,22%,24%,24%,26%,25%,24%,24%,25%,27%
Other Income+,0,0,0,0,0,2,2,1,0,0,1,6,2
Depreciation,19,19,13,18,18,22,24,25,26,25,32,34,31
Profit before tax,"1,453","1,645","1,483","1,454","1,482","1,635","1,665","1,798","1,780","1,705","1,703","1,762","1,933"
Tax %,18%,20%,20%,20%,27%,20%,20%,20%,23%,20%,21%,21%,23%
Net Profit+,"1,191","1,319","1,192","1,169","1,082","1,306","1,328","1,435","1,374","1,364","1,349","1,398","1,493"
EPS in Rs,21.65,23.98,21.67,21.25,19.66,23.75,24.14,26.09,24.97,24.80,24.53,25.42,27.13
Gross NPA %,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,
