Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"1,851","6,034","6,603","7,172","8,118","8,743","5,181","7,824","11,737","5,202","5,609","5,906"
Expenses+,"1,775","5,620","6,123","6,661","7,525","7,470","4,560","6,709","10,087","4,652","4,822","5,177"
Operating Profit,75,414,480,511,593,"1,273",621,"1,116","1,650",550,787,729
OPM %,4%,7%,7%,7%,7%,15%,12%,14%,14%,11%,14%,12%
Other Income+,2,25,37,30,63,62,72,94,110,295,375,186
Interest,122,211,220,212,225,467,525,376,480,482,474,334
Depreciation,183,338,242,281,282,877,945,947,"1,114",814,924,"1,041"
Profit before tax,-228,-110,54,49,149,-9,-776,-113,166,-450,-237,-459
Tax %,0%,0%,0%,-141%,-115%,"1,497%",-16%,-29%,20%,-31%,-46%,-23%
Net Profit+,-228,-110,54,118,321,-145,-650,-81,133,-312,-128,-351
EPS in Rs,-22.02,-1.28,0.62,1.37,3.72,-1.68,-7.66,-0.86,1.40,-3.07,-1.05,-2.88
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
