Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,680,601,712,707,"1,143","1,160",833,870,924,944,"1,146","1,264","1,465"
Expenses+,623,564,663,667,"1,059","1,115",762,790,817,857,"1,031","1,105","1,291"
Operating Profit,57,37,49,39,83,45,71,80,108,87,115,159,174
OPM %,8%,6%,7%,6%,7%,4%,9%,9%,12%,9%,10%,13%,12%
Other Income+,24,22,8,12,7,15,10,20,22,16,9,7,11
Interest,4,8,8,11,13,14,14,15,16,15,13,8,13
Depreciation,9,10,12,14,16,17,17,20,21,21,22,20,21
Profit before tax,68,41,37,27,61,29,51,64,93,67,90,138,150
Tax %,37%,31%,17%,25%,26%,31%,22%,17%,23%,26%,26%,20%,21%
Net Profit+,43,28,31,20,45,20,40,53,71,50,66,110,119
EPS in Rs,2.39,1.61,1.60,0.87,1.97,1.09,2.04,2.74,3.67,2.79,3.33,5.33,5.25
Raw PDF,,,,,,,,,,,,,
