Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"4,519","4,716","5,271","5,194","5,391","5,601","6,147","6,161","6,051","6,396","6,869","6,905","6,825"
Expenses+,"4,874","4,206","4,509","4,639","4,701","4,831","5,207","5,199","5,443","5,415","5,825","6,051","6,138"
Operating Profit,-355,510,762,555,690,770,940,962,609,981,"1,044",854,686
OPM %,-8%,11%,14%,11%,13%,14%,15%,16%,10%,15%,15%,12%,10%
Other Income+,928,10,2,19,8,4,-21,-2,60,13,33,16,32
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,573,520,764,574,698,774,919,960,668,994,"1,077",870,718
Tax %,24%,25%,24%,25%,26%,25%,24%,25%,24%,25%,24%,24%,24%
Net Profit+,437,390,577,431,520,580,694,724,510,747,820,659,547
EPS in Rs,8.90,7.95,11.75,8.76,10.54,11.77,14.03,14.63,10.28,15.04,16.47,13.23,10.96
Raw PDF,,,,,,,,,,,,,
