Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"2,170","2,221","2,276","2,323","2,318","2,357","3,026","3,258","3,422","3,689","3,986","4,232","4,450"
Expenses+,"1,874","1,915","1,935","1,928","1,929","2,048","2,603","2,823","2,895","3,112","3,253","3,508","3,574"
Operating Profit,296,306,341,395,390,309,423,435,527,577,732,723,876
OPM %,14%,14%,15%,17%,17%,13%,14%,13%,15%,16%,18%,17%,20%
Other Income+,-50,16,9,15,14,6,42,56,33,64,38,-127,-32
Interest,20,22,32,35,37,32,30,32,40,46,41,42,40
Depreciation,72,76,77,81,79,72,114,116,125,159,172,171,180
Profit before tax,155,224,241,294,288,211,320,343,395,436,558,384,625
Tax %,25%,22%,22%,18%,20%,34%,27%,25%,22%,18%,24%,23%,-7%
Net Profit+,117,176,188,243,229,139,234,256,307,356,425,297,666
EPS in Rs,3.76,5.41,5.88,7.71,7.24,3.99,6.06,6.45,7.81,9.49,11.23,7.47,18.23
Raw PDF,,,,,,,,,,,,,
