Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,87,46,115,282,322,375,437
Expenses+,61,77,102,150,168,200,218
Operating Profit,26,-30,13,132,154,175,219
OPM %,30%,-65%,11%,47%,48%,47%,50%
Other Income+,1,2,3,27,29,99,209
Interest,45,86,123,156,172,189,58
Depreciation,30,49,47,29,25,28,31
Profit before tax,-47,-162,-154,-25,-13,58,340
Tax %,0%,0%,0%,0%,0%,41%,19%
Net Profit+,-47,-162,-154,-25,-13,34,276
EPS in Rs,,,,,,1.24,8.26
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%
