Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"4,949","4,380","4,720","5,260","6,485","5,528","5,196","5,345","6,131","5,179","4,543","4,868","6,233"
Expenses+,"4,484","3,971","4,416","4,755","5,934","5,050","4,753","4,904","5,576","4,723","4,150","4,432","5,682"
Operating Profit,465,409,304,505,551,478,443,441,555,456,393,436,550
OPM %,9%,9%,6%,10%,8%,9%,9%,8%,9%,9%,9%,9%,9%
Other Income+,24,28,28,29,13,31,29,48,58,31,44,0,21
Interest,143,132,153,156,153,155,167,166,193,164,172,196,213
Depreciation,53,53,53,53,52,54,55,54,54,55,57,59,65
Profit before tax,293,252,125,325,358,300,250,270,367,268,209,182,294
Tax %,31%,27%,31%,29%,33%,26%,30%,24%,28%,24%,20%,26%,26%
Net Profit+,203,184,86,231,239,223,175,206,265,205,167,135,217
EPS in Rs,3.04,2.76,1.23,3.51,3.81,3.34,2.60,3.08,4.04,3.06,2.46,1.95,3.28
Raw PDF,,,,,,,,,,,,,
