Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"1,168",859,"1,064","1,722","2,151","2,112","3,024","4,658","6,264","6,668","6,474","6,993"
Expenses+,"1,092",809,941,"1,425","1,718","1,799","2,356","3,513","5,776","6,032","5,697","6,070"
Operating Profit,76,50,123,297,432,313,668,"1,146",488,636,777,923
OPM %,7%,6%,12%,17%,20%,15%,22%,25%,8%,10%,12%,13%
Other Income+,141,7,38,30,22,4,50,95,55,96,144,111
Interest,34,33,25,25,38,57,39,9,38,58,50,51
Depreciation,117,119,95,99,93,159,150,120,208,219,211,240
Profit before tax,66,-95,41,203,324,100,529,"1,112",297,456,660,744
Tax %,-7%,-34%,-25%,-39%,12%,-5%,17%,27%,-1%,23%,26%,26%
Net Profit+,71,-62,51,282,285,105,439,810,299,351,490,553
EPS in Rs,16.29,-14.30,10.92,60.32,12.21,4.51,18.79,31.77,11.72,12.59,17.54,19.81
Dividend Payout %,-0%,-0%,-0%,-0%,-0%,-0%,26%,16%,15%,36%,26%,14%
