Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue+,538,578,614,659,692,713,764,798,833,848,897,943,984
Interest,213,235,239,251,262,277,285,297,315,332,342,348,343
Expenses+,116,150,117,142,166,173,180,187,196,207,208,213,240
Financing Profit,209,192,258,266,264,263,299,314,322,309,348,382,401
Financing Margin %,39%,33%,42%,40%,38%,37%,39%,39%,39%,36%,39%,40%,41%
Other Income+,-25,0,0,0,0,0,0,0,1,3,2,-15,8
Depreciation,4,5,5,5,6,6,6,6,6,7,7,7,11
Profit before tax,179,187,253,260,258,257,293,308,316,305,343,360,398
Tax %,22%,22%,22%,22%,22%,22%,22%,22%,23%,22%,22%,22%,22%
Net Profit+,141,146,197,203,202,200,228,239,245,237,266,281,311
EPS in Rs,3.56,3.71,5.00,5.15,5.10,4.69,5.29,5.55,5.68,5.49,6.15,6.48,7.13
Gross NPA %,,1.49%,1.38%,,,1.36%,,1.42%,1.08%,1.39%,1.47%,1.42%,1.09%
Net NPA %,,1.00%,0.85%,,,0.87%,,0.92%,0.71%,0.94%,0.97%,0.97%,0.71%
Raw PDF,,,,,,,,,,,,,
