Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,605,626,626,627,657,677,701,722,750,791,805,819,869
Expenses+,497,445,496,444,453,467,547,457,517,531,526,525,536
Operating Profit,107,181,130,183,204,210,154,266,232,260,280,294,334
OPM %,18%,29%,21%,29%,31%,31%,22%,37%,31%,33%,35%,36%,38%
Other Income+,-533,64,212,38,-11,154,379,141,546,209,187,136,572
Interest,1,4,8,5,6,6,6,6,6,7,7,7,7
Depreciation,20,24,26,26,26,26,27,30,31,31,31,30,30
Profit before tax,-447,217,308,190,162,332,500,371,742,431,429,393,869
Tax %,13%,32%,22%,37%,46%,22%,83%,22%,9%,20%,19%,19%,13%
Net Profit+,-503,147,240,119,88,259,85,288,678,343,348,317,756
EPS in Rs,-4.22,2.46,3.18,2.34,0.93,3.60,0.36,3.74,7.15,4.57,4.88,4.19,8.73
Raw PDF,,,,,,,,,,,,,
