Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"6,300","8,969","10,346","15,786","20,550","16,082","12,386","20,857","26,840","25,847","31,563","41,039"
Expenses+,"5,635","7,473","8,189","12,696","16,479","13,946","10,822","17,641","23,649","23,531","30,402","39,269"
Operating Profit,665,"1,496","2,157","3,090","4,071","2,135","1,564","3,216","3,190","2,316","1,161","1,771"
OPM %,11%,17%,21%,20%,20%,13%,13%,15%,12%,9%,4%,4%
Other Income+,322,326,472,179,"-1,800",270,527,"1,182",920,541,"1,531","1,658"
Interest,39,147,58,128,199,238,236,247,368,440,684,895
Depreciation,263,445,446,628,760,814,828,914,"1,097","1,215","1,676","2,090"
Profit before tax,685,"1,230","2,125","2,513","1,312","1,354","1,027","3,237","2,645","1,202",333,444
Tax %,23%,21%,27%,30%,61%,5%,12%,6%,20%,21%,36%,22%
Net Profit+,530,971,"1,560","1,769",515,"1,288",905,"3,051","2,124",945,212,348
EPS in Rs,11.17,20.12,32.33,26.03,7.58,18.95,13.31,44.85,31.21,14.36,3.12,5.12
Dividend Payout %,31%,22%,16%,23%,89%,20%,65%,22%,31%,70%,321%,195%
