Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"1,317","1,326","1,291","1,309","1,530","1,342","1,268","1,298","1,468","1,323","1,308","1,139","1,610"
Expenses+,"1,041","1,019",930,978,"1,201",935,"1,021","1,076","1,150",999,"1,048",922,"1,171"
Operating Profit,276,307,361,331,329,408,247,221,318,324,260,218,439
OPM %,21%,23%,28%,25%,22%,30%,19%,17%,22%,24%,20%,19%,27%
Other Income+,14,44,26,17,41,32,24,20,32,26,23,27,18
Interest,14,10,10,16,24,14,14,13,15,15,11,13,19
Depreciation,32,34,35,35,37,38,39,37,40,44,41,45,48
Profit before tax,243,307,343,296,310,387,218,192,295,291,231,188,390
Tax %,30%,25%,25%,23%,29%,26%,27%,24%,25%,26%,30%,24%,28%
Net Profit+,170,231,257,229,219,287,159,145,222,216,162,143,280
EPS in Rs,2.41,3.40,3.78,3.37,3.21,4.22,2.38,2.16,3.31,3.23,2.41,2.14,4.17
Raw PDF,,,,,,,,,,,,,
