Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"5,842","6,440","6,217","6,162","6,349","7,196","6,881","7,001","7,075","7,676","7,379","8,050","8,044"
Expenses+,"4,988","5,310","5,060","5,108","5,437","6,037","5,870","6,166","6,000","6,604","6,253","6,651","6,739"
Operating Profit,854,"1,130","1,157","1,055",912,"1,160","1,011",835,"1,074","1,071","1,126","1,400","1,305"
OPM %,15%,18%,19%,17%,14%,16%,15%,12%,15%,14%,15%,17%,16%
Other Income+,70,75,71,78,94,84,113,98,115,126,108,50,153
Interest,92,84,86,90,93,85,84,94,98,98,90,91,86
Depreciation,330,333,351,360,385,396,410,415,433,429,445,438,442
Profit before tax,501,787,791,682,527,763,631,424,659,670,699,920,930
Tax %,32%,25%,26%,25%,25%,25%,25%,26%,23%,25%,25%,25%,24%
Net Profit+,341,589,587,510,396,571,471,315,510,500,526,695,702
EPS in Rs,803.19,"1,388.20","1,383.27","1,201.83",933.96,"1,346.40","1,109.85",743.79,"1,203.70","1,180.05","1,239.40","1,637.78","1,655.82"
Raw PDF,,,,,,,,,,,,,
