Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"4,791","5,201","4,435","4,914","5,409","5,199","4,634","5,972","6,115","6,087","6,005","6,483","7,146"
Expenses+,"4,322","4,430","3,885","4,010","4,572","4,520","4,198","4,856","5,284","5,309","5,159","5,783","6,520"
Operating Profit,469,771,549,905,837,679,436,"1,116",830,778,846,700,626
OPM %,10%,15%,12%,18%,15%,13%,9%,19%,14%,13%,14%,11%,9%
Other Income+,55,80,212,94,350,73,124,649,330,70,225,91,50
Interest,15,25,29,34,67,33,33,28,14,30,29,26,27
Depreciation,177,200,213,235,237,235,242,260,265,255,279,306,279
Profit before tax,331,626,519,729,883,484,284,"1,476",882,563,763,460,370
Tax %,29%,25%,25%,26%,-7%,26%,30%,26%,15%,33%,-47%,12%,36%
Net Profit+,236,466,388,538,943,360,200,"1,092",751,375,"1,119",404,238
EPS in Rs,12.55,24.82,20.65,28.63,50.23,19.15,10.63,58.14,39.99,19.99,59.60,21.52,12.69
Raw PDF,,,,,,,,,,,,,
