Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"2,880","3,196","3,226","4,167","1,575","1,674","1,761","2,201","1,719","1,831","1,982","2,374","1,990"
Expenses+,"2,687","2,904","2,904","3,613","1,540","1,585","1,683","1,908","1,520","1,726","1,920","2,072","1,802"
Operating Profit,193,292,323,553,35,89,77,293,199,106,62,302,188
OPM %,7%,9%,10%,13%,2%,5%,4%,13%,12%,6%,3%,13%,9%
Other Income+,39,61,46,51,84,57,134,95,243,64,55,40,112
Interest,142,187,208,245,152,132,141,151,143,113,124,132,146
Depreciation,348,367,389,444,287,274,286,296,315,316,325,350,349
Profit before tax,-259,-201,-229,-85,-321,-260,-217,-59,-15,-260,-333,-141,-195
Tax %,-25%,-20%,-12%,27%,-17%,-17%,-19%,-28%,52%,-10%,-11%,-3%,-16%
Net Profit+,-195,-162,-200,-108,-266,-215,-175,-42,-24,-234,-295,-137,-164
EPS in Rs,-1.97,-1.49,-1.89,-0.82,-2.26,-1.59,-1.36,-0.48,-0.14,-1.74,-2.16,-1.25,-1.22
Raw PDF,,,,,,,,,,,,,
