Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,850,932,"1,104","1,071",951,960,"1,024","1,091","1,114","1,183","1,149","1,169","1,181"
Expenses+,711,812,966,910,781,806,895,949,955,"1,042","1,018","1,021",996
Operating Profit,139,121,138,161,170,154,129,142,159,142,132,148,185
OPM %,16%,13%,13%,15%,18%,16%,13%,13%,14%,12%,11%,13%,16%
Other Income+,27,33,40,28,42,44,41,50,47,42,44,34,47
Interest,0,1,1,1,1,1,1,2,2,2,2,4,1
Depreciation,14,14,14,13,14,13,14,14,14,13,13,13,15
Profit before tax,152,139,164,174,197,184,155,176,190,168,161,165,215
Tax %,26%,26%,26%,27%,25%,26%,26%,25%,26%,26%,26%,26%,26%
Net Profit+,112,103,122,128,148,136,115,132,140,125,120,121,160
EPS in Rs,126.68,116.95,137.87,144.66,167.62,154.39,130.18,149.41,158.23,140.93,135.16,137.08,180.63
Raw PDF,,,,,,,,,,,,,
