Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"1,766","2,275","1,890","1,824","2,133","2,475","2,117","2,000","2,323","2,864","2,053","2,073","2,250"
Expenses+,"1,712","2,052","1,706","1,678","1,991","2,190","1,890","1,859","2,136","2,553","1,923","1,847","2,111"
Operating Profit,54,223,184,146,143,285,227,141,187,311,130,226,139
OPM %,3%,10%,10%,8%,7%,12%,11%,7%,8%,11%,6%,11%,6%
Other Income+,12,10,12,25,26,7,10,-16,8,11,15,-8,82
Interest,1,2,1,2,2,2,2,3,6,11,15,17,29
Depreciation,51,51,51,52,58,58,57,61,57,63,64,69,76
Profit before tax,13,180,144,117,110,233,178,61,132,248,66,132,116
Tax %,27%,24%,26%,27%,26%,26%,26%,37%,26%,26%,30%,39%,12%
Net Profit+,10,136,107,86,82,174,132,39,98,184,46,81,102
EPS in Rs,0.37,5.15,4.06,3.23,3.07,6.56,5.00,1.45,3.69,6.95,1.76,3.06,3.85
Raw PDF,,,,,,,,,,,,,
